20--INFO--2024-04-24 04:30:41,179--data ingestion started
27--INFO--2024-04-24 04:30:45,264--book data saved 
31--INFO--2024-04-24 04:30:46,021--saved user data
35--INFO--2024-04-24 04:30:47,931--saved rating data
17--INFO--2024-04-24 04:30:48,015--trasnformation initiated
20--INFO--2024-04-24 04:30:50,408--read book and rating data
22--INFO--2024-04-24 04:30:51,056--merge book and rating dataset
24--INFO--2024-04-24 04:30:51,396--drop book and rating dataset's null value
27--INFO--2024-04-24 04:30:51,910--add new column rating frequency
30--INFO--2024-04-24 04:30:52,378--add new column rating avg
32--INFO--2024-04-24 04:30:52,474--merge columns rating_avg and rating_frquency
34--INFO--2024-04-24 04:30:52,474--extarct row which rating frequency is more than 250 and that's why this is popular
36--INFO--2024-04-24 04:30:52,474--extarct top 50 rows which rating frequency is more than 250 
38--INFO--2024-04-24 04:30:52,592--merge top 50 data and real book data
41--INFO--2024-04-24 04:30:52,592--get top 50 book's data
46--INFO--2024-04-24 04:30:52,592--exception during occured at data tarnsformation initiation stage
