20--INFO--2024-04-24 08:05:52,671--data ingestion started
27--INFO--2024-04-24 08:05:56,781--book data saved 
31--INFO--2024-04-24 08:05:57,528--saved user data
35--INFO--2024-04-24 08:05:59,333--saved rating data
18--INFO--2024-04-24 08:05:59,389--trasnformation initiated
21--INFO--2024-04-24 08:06:01,421--read book and rating data
23--INFO--2024-04-24 08:06:02,141--merge book and rating dataset
25--INFO--2024-04-24 08:06:02,475--drop book and rating dataset's null value
28--INFO--2024-04-24 08:06:03,104--add new column rating frequency
31--INFO--2024-04-24 08:06:03,658--add new column rating avg
33--INFO--2024-04-24 08:06:03,793--merge columns rating_avg and rating_frquency
35--INFO--2024-04-24 08:06:03,793--extarct row which rating frequency is more than 250 and that's why this is popular
37--INFO--2024-04-24 08:06:03,793--extarct top 50 rows which rating frequency is more than 250 
39--INFO--2024-04-24 08:06:03,921--merge top 50 data and real book data
42--INFO--2024-04-24 08:06:03,921--get top 50 book's data
17--INFO--2024-04-24 08:06:04,039--trasnformation initiated
20--INFO--2024-04-24 08:06:05,928--read book and rating data
22--INFO--2024-04-24 08:06:06,677--merge book and rating dataset
24--INFO--2024-04-24 08:06:07,043--drop book and rating dataset's null value
30--INFO--2024-04-24 08:06:07,202--get data where users gave atlist 200 ratings
36--INFO--2024-04-24 08:06:07,574--get data where users gave atlist 200 ratings and book has atleast 50 rating
17--INFO--2024-04-24 08:06:08,081--pickle dump succesfully
23--INFO--2024-04-24 08:06:08,081--model saved
