20--INFO--2024-04-24 11:15:09,199--data ingestion started
27--INFO--2024-04-24 11:15:11,681--book data saved 
31--INFO--2024-04-24 11:15:12,115--saved user data
35--INFO--2024-04-24 11:15:13,196--saved rating data
18--INFO--2024-04-24 11:15:13,262--trasnformation initiated
21--INFO--2024-04-24 11:15:14,759--read book and rating data
23--INFO--2024-04-24 11:15:15,468--merge book and rating dataset
25--INFO--2024-04-24 11:15:15,764--drop book and rating dataset's null value
28--INFO--2024-04-24 11:15:16,163--add new column rating frequency
31--INFO--2024-04-24 11:15:16,565--add new column rating avg
33--INFO--2024-04-24 11:15:16,680--merge columns rating_avg and rating_frquency
35--INFO--2024-04-24 11:15:16,681--extarct row which rating frequency is more than 250 and that's why this is popular
37--INFO--2024-04-24 11:15:16,682--extarct top 50 rows which rating frequency is more than 250 
39--INFO--2024-04-24 11:15:16,782--merge top 50 data and real book data
42--INFO--2024-04-24 11:15:16,782--get top 50 book's data
18--INFO--2024-04-24 11:15:16,880--trasnformation initiated
21--INFO--2024-04-24 11:15:18,296--read book and rating data
23--INFO--2024-04-24 11:15:18,881--merge book and rating dataset
25--INFO--2024-04-24 11:15:19,147--drop book and rating dataset's null value
31--INFO--2024-04-24 11:15:19,247--get data where users gave atlist 200 ratings
37--INFO--2024-04-24 11:15:19,514--get data where users gave atlist 200 ratings and book has atleast 50 rating
17--INFO--2024-04-24 11:15:19,562--pickle dump succesfully
25--INFO--2024-04-24 11:15:19,690--exception occured during model trainig stage
