20--INFO--2024-04-24 04:31:58,007--data ingestion started
27--INFO--2024-04-24 04:32:02,156--book data saved 
31--INFO--2024-04-24 04:32:02,916--saved user data
35--INFO--2024-04-24 04:32:04,717--saved rating data
17--INFO--2024-04-24 04:32:04,772--trasnformation initiated
20--INFO--2024-04-24 04:32:06,865--read book and rating data
22--INFO--2024-04-24 04:32:07,464--merge book and rating dataset
24--INFO--2024-04-24 04:32:07,828--drop book and rating dataset's null value
27--INFO--2024-04-24 04:32:08,285--add new column rating frequency
30--INFO--2024-04-24 04:32:08,721--add new column rating avg
32--INFO--2024-04-24 04:32:08,834--merge columns rating_avg and rating_frquency
34--INFO--2024-04-24 04:32:08,834--extarct row which rating frequency is more than 250 and that's why this is popular
36--INFO--2024-04-24 04:32:08,834--extarct top 50 rows which rating frequency is more than 250 
38--INFO--2024-04-24 04:32:08,956--merge top 50 data and real book data
41--INFO--2024-04-24 04:32:08,956--get top 50 book's data
46--INFO--2024-04-24 04:32:08,956--exception during occured at data tarnsformation initiation stage
