20--INFO--2024-04-24 04:35:13,114--data ingestion started
27--INFO--2024-04-24 04:35:17,130--book data saved 
31--INFO--2024-04-24 04:35:17,869--saved user data
35--INFO--2024-04-24 04:35:19,840--saved rating data
18--INFO--2024-04-24 04:35:19,910--trasnformation initiated
21--INFO--2024-04-24 04:35:22,199--read book and rating data
23--INFO--2024-04-24 04:35:22,826--merge book and rating dataset
25--INFO--2024-04-24 04:35:23,171--drop book and rating dataset's null value
28--INFO--2024-04-24 04:35:23,626--add new column rating frequency
31--INFO--2024-04-24 04:35:24,083--add new column rating avg
33--INFO--2024-04-24 04:35:24,191--merge columns rating_avg and rating_frquency
35--INFO--2024-04-24 04:35:24,191--extarct row which rating frequency is more than 250 and that's why this is popular
37--INFO--2024-04-24 04:35:24,191--extarct top 50 rows which rating frequency is more than 250 
39--INFO--2024-04-24 04:35:24,301--merge top 50 data and real book data
42--INFO--2024-04-24 04:35:24,301--get top 50 book's data
47--INFO--2024-04-24 04:35:24,319--exception during occured at data tarnsformation initiation stage
